picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,"Nom 11",,11,"AC Ajaccio"
1.5,66,105,117,249,"Nom 12",,12,"AC Ajaccio"
1.5,149,90,108,159,"Nom 13",,13,"AC Ajaccio"
1.5,232,105,117,69,"Nom 14",,14,"AC Ajaccio"
1.5,37,215,220,279,"Nom 15",,15,"AC Ajaccio"
1.5,105,191,195,219,"Nom 16",,16,"AC Ajaccio"
1.5,149,143,183,159,"Nom 17",,17,"AC Ajaccio"
1.5,192,191,195,99,"Nom 18",,18,"AC Ajaccio"
1.5,260,215,217,40,"Nom 19",,19,"AC Ajaccio"
1.5,100,265,272,199,"Nom 110",,110,"AC Ajaccio"
1.5,197,265,272,119,"Nom 111",(C),111,"AC Ajaccio"
1.5,149,557,593,159,"Equipe2 1",,21,"Angers SCO"
1.5,252,467,498,49,"Equipe2 2",,22,"Angers SCO"
1.5,187,487,518,119,"Equipe2 3",,23,"Angers SCO"
1.5,110,487,518,199,"Equipe2 4",,24,"Angers SCO"
1.5,45,467,498,269,"Equipe2 5",,25,"Angers SCO"
1.5,252,372,411,49,"Equipe2 6",,26,"Angers SCO"
1.5,187,407,436,119,"Equipe2 7",,27,"Angers SCO"
1.5,110,407,436,199,"Equipe2 8",,28,"Angers SCO"
1.5,45,372,411,269,"Equipe2 9",,29,"Angers SCO"
1.5,197,322,355,119,"Equipe2 10",,210,"Angers SCO"
1.5,100,322,355,199,"Equipe2 11",(C),211,"Angers SCO"
