picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,"Nom 1",,,"AC Ajaccio"
1.5,65,112,116,250,"Nom 2",,,"AC Ajaccio"
1.5,149,112,116,159,"Nom 3",,,"AC Ajaccio"
1.5,235,112,116,73,"Nom 4",,,"AC Ajaccio"
1.5,31,165,170,282,"Nom 5",,,"AC Ajaccio"
1.5,105,165,170,197,"Nom 6",,,"AC Ajaccio"
1.5,191,165,170,112,"Nom 7",,,"AC Ajaccio"
1.5,265,165,170,28,"Nom 8",,,"AC Ajaccio"
1.5,149,217,233,159,"Nom 9",,,"AC Ajaccio"
1.5,119,269,272,205,"Nom 10",,,"AC Ajaccio"
1.5,179,269,272,115,"Nom 11",,,"AC Ajaccio"
1.5,149,557,593,159,"Nom 21",,,"AS Monaco"
1.5,252,467,498,49,"Nom 22",,,"AS Monaco"
1.5,193,497,528,114,"Nom 23",,,"AS Monaco"
1.5,106,497,528,204,"Nom 24",,,"AS Monaco"
1.5,45,467,498,269,"Nom 25",,,"AS Monaco"
1.5,223,402,434,89,"Nom 26",,,"AS Monaco"
1.5,149,422,449,159,"Nom 27",,,"AS Monaco"
1.5,75,402,434,229,"Nom 28",,,"AS Monaco"
1.5,242,343,363,59,"Nom 29",,,"AS Monaco"
1.5,149,322,355,159,"Nom 210",,,"AS Monaco"
1.5,55,343,363,259,"Nom 211",,,"AS Monaco"
