picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,,,,"AC Ajaccio"
1.5,66,105,117,249,,,,"AC Ajaccio"
1.5,149,90,108,159,,,,"AC Ajaccio"
1.5,232,105,117,69,,,,"AC Ajaccio"
1.5,37,215,220,279,,,,"AC Ajaccio"
1.5,105,191,195,219,,,,"AC Ajaccio"
1.5,149,143,183,159,,,,"AC Ajaccio"
1.5,192,191,195,99,,,,"AC Ajaccio"
1.5,260,215,217,40,,,,"AC Ajaccio"
1.5,100,265,272,199,,,,"AC Ajaccio"
1.5,197,265,272,119,,,,"AC Ajaccio"
1.5,149,557,593,159,,,,Lille
1.5,235,475,510,73,,,,Lille
1.5,149,475,510,159,,,,Lille
1.5,65,475,510,250,,,,Lille
1.5,265,420,455,28,,,,Lille
1.5,191,420,455,112,,,,Lille
1.5,105,420,455,204,,,,Lille
1.5,31,420,455,282,,,,Lille
1.5,179,370,403,129,,,,Lille
1.5,119,370,403,189,,,,Lille
1.5,149,318,353,159,,,,Lille
