picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,mmm,,,"AC Ajaccio"
1.5,65,112,116,250,,,,"AC Ajaccio"
1.5,149,112,116,159,,,,"AC Ajaccio"
1.5,235,112,116,73,,,,"AC Ajaccio"
1.5,31,165,170,282,,,,"AC Ajaccio"
1.5,105,165,170,204,,,,"AC Ajaccio"
1.5,191,165,170,112,,,,"AC Ajaccio"
1.5,265,165,170,28,,,,"AC Ajaccio"
1.5,119,217,220,129,,,,"AC Ajaccio"
1.5,179,217,220,189,,,,"AC Ajaccio"
1.5,149,269,273,159,jj,,,"AC Ajaccio"
1.5,149,557,593,159,ppp,,,"OGC Nice"
1.5,252,467,498,49,,,,"OGC Nice"
1.5,193,497,528,114,,,,"OGC Nice"
1.5,106,497,528,204,,,,"OGC Nice"
1.5,45,467,498,269,,,,"OGC Nice"
1.5,223,402,434,89,,,,"OGC Nice"
1.5,149,422,449,159,,,,"OGC Nice"
1.5,75,402,434,229,,,,"OGC Nice"
1.5,242,343,363,59,,,,"OGC Nice"
1.5,149,322,355,159,,,,"OGC Nice"
1.5,55,343,363,259,ii,,,"OGC Nice"
