picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,Costil,,1,Bordeaux
1.5,45,120,129,269,Pembélé,,22,Bordeaux
1.5,105,90,99,204,Mexer,,4,Bordeaux
1.5,192,90,99,114,Koscielny,(C),6,Bordeaux
1.5,252,120,129,49,Mangas,,12,Bordeaux
1.5,75,185,193,229,Onana,,8,Bordeaux
1.5,149,165,178,159,Otavio,,5,Bordeaux
1.5,223,185,193,89,Fransergio,,13,Bordeaux
1.5,55,244,264,259,Oudin,,28,Bordeaux
1.5,149,265,272,159,Mara,,11,Bordeaux
1.5,242,244,264,59,Hwang,,18,Bordeaux
1.5,149,557,593,159,Leca,,16,"RC Lens"
1.5,235,475,510,73,Gradit,,24,"RC Lens"
1.5,149,475,510,159,Danso,,4,"RC Lens"
1.5,65,475,510,250,Medina,,14,"RC Lens"
1.5,265,420,455,28,Clauss,,11,"RC Lens"
1.5,191,420,455,112,Cahuzac,(C),18,"RC Lens"
1.5,105,420,455,197,Fofana,,8,"RC Lens"
1.5,31,420,455,282,Frankowski,,29,"RC Lens"
1.5,149,370,403,159,Kakuta,,10,"RC Lens"
1.5,179,318,355,115,Sotoca,,7,"RC Lens"
1.5,119,318,355,205,Kalimuendo,,15,"RC Lens"
