picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,Paris-SG
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
0,0,0,0,0,,,,"AS Monaco"
