picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,Equipe1,,1,"AC Ajaccio"
1.5,65,112,116,250,Equipe1,,1,"AC Ajaccio"
1.5,149,112,116,159,Equipe1,(C),1,"AC Ajaccio"
1.5,235,112,116,73,Equipe1,,1,"AC Ajaccio"
1.5,31,165,170,282,Equipe1,,1,"AC Ajaccio"
1.5,105,165,170,204,Equipe1,,1,"AC Ajaccio"
1.5,191,165,170,112,Equipe1,,1,"AC Ajaccio"
1.5,265,165,170,28,Equipe1,,1,"AC Ajaccio"
1.5,119,217,220,129,Equipe1,,1,"AC Ajaccio"
1.5,179,217,220,189,Equipe1,,1,"AC Ajaccio"
1.5,149,269,273,159,Equipe1,,1,"AC Ajaccio"
1.5,149,557,593,159,Equipe2,(C),2,"Angers SCO"
1.5,235,475,510,73,Equipe2,,2,"Angers SCO"
1.5,149,475,510,159,Equipe2,,2,"Angers SCO"
1.5,65,475,510,250,Equipe2,,2,"Angers SCO"
1.5,265,420,455,28,Equipe2,,2,"Angers SCO"
1.5,191,420,455,112,Equipe2,,2,"Angers SCO"
1.5,105,420,455,204,Equipe2,,2,"Angers SCO"
1.5,31,420,455,282,Equipe2,,2,"Angers SCO"
1.5,179,370,403,129,Equipe2,,2,"Angers SCO"
1.5,119,370,403,189,Equipe2,,2,"Angers SCO"
1.5,149,318,353,159,Equipe2,,2,"Angers SCO"
