picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,,,,"AS Monaco"
1.5,65,112,116,250,,,,"AS Monaco"
1.5,149,112,116,159,,,,"AS Monaco"
1.5,235,112,116,73,,,,"AS Monaco"
1.5,31,165,170,282,,,,"AS Monaco"
1.5,105,165,170,197,,,,"AS Monaco"
1.5,191,165,170,112,,,,"AS Monaco"
1.5,265,165,170,28,,,,"AS Monaco"
1.5,149,217,233,159,,,,"AS Monaco"
1.5,119,269,272,205,,,,"AS Monaco"
1.5,179,269,272,115,,,,"AS Monaco"
1.5,149,557,593,159,,,,Bordeaux
1.5,233,482,507,69,,,,Bordeaux
1.5,149,497,520,159,,,,Bordeaux
1.5,66,482,507,249,,,,Bordeaux
1.5,260,372,410,40,,,,Bordeaux
1.5,192,396,432,99,,,,Bordeaux
1.5,149,444,444,159,,,,Bordeaux
1.5,105,396,432,219,,,,Bordeaux
1.5,37,372,410,279,,,,Bordeaux
1.5,197,322,355,119,,,,Bordeaux
1.5,100,322,355,199,,,,Bordeaux
