picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Guingamp
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
0,0,0,0,0,,,,Amiens
