picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,Sochaux
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
0,0,0,0,0,,,,"Le Havre"
