picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,"Nom 100",,20,"AC Ajaccio"
1.5,45,120,129,269,"Nom 2",,2,"AC Ajaccio"
1.5,110,100,109,199,"Nom 3",,3,"AC Ajaccio"
1.5,187,100,109,119,"Nom 4",,4,"AC Ajaccio"
1.5,252,120,129,49,"Nom 5",,5,"AC Ajaccio"
1.5,45,215,216,269,"Nom 6",,6,"AC Ajaccio"
1.5,110,180,191,199,"Nom 7",,7,"AC Ajaccio"
1.5,187,180,191,119,"Nom 8",,8,"AC Ajaccio"
1.5,252,215,216,49,"Nom 9",,9,"AC Ajaccio"
1.5,100,265,272,199,"Nom 10",,10,"AC Ajaccio"
1.5,197,265,272,119,"Nom 11",,11,"AC Ajaccio"
1.5,149,557,593,159,"Nom 100",,20,"Angers SCO"
1.5,235,475,510,73,"Nom 2",,2,"Angers SCO"
1.5,149,475,510,159,"Nom 3",,3,"Angers SCO"
1.5,65,475,510,250,"Nom 4",,4,"Angers SCO"
1.5,265,420,455,28,"Nom 5",,5,"Angers SCO"
1.5,191,420,455,112,"Nom 6",,6,"Angers SCO"
1.5,105,420,455,204,"Nom 7",,7,"Angers SCO"
1.5,31,420,455,282,"Nom 8",,8,"Angers SCO"
1.5,179,370,403,129,"Nom 9",,9,"Angers SCO"
1.5,119,370,403,189,"Nom 10",,10,"Angers SCO"
1.5,149,318,353,159,"Nom 11",,11,"Angers SCO"
