picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,"Nom 1",,1,"AC Ajaccio"
1.5,75,110,114,244,"Nom 2",,2,"AC Ajaccio"
1.5,149,90,104,159,"Nom 3",,3,"AC Ajaccio"
1.5,223,110,114,74,"Nom 4",,4,"AC Ajaccio"
1.5,42,190,193,269,"Nom 5",,5,"AC Ajaccio"
1.5,108,160,168,199,"Nom 6",,6,"AC Ajaccio"
1.5,189,160,168,119,"Nom 7",,7,"AC Ajaccio"
1.5,255,190,193,49,"Nom 8",,8,"AC Ajaccio"
1.5,67,244,259,239,"Nom 9",,9,"AC Ajaccio"
1.5,149,265,277,159,"Nom 10",,10,"AC Ajaccio"
1.5,230,244,259,79,"Nom 11",,11,"AC Ajaccio"
1.5,149,557,593,159,"Nom 1",,1,"AS Monaco"
1.5,252,467,498,49,"Nom 2",,2,"AS Monaco"
1.5,187,487,518,119,"Nom 3",,3,"AS Monaco"
1.5,110,487,518,199,"Nom 4",,4,"AS Monaco"
1.5,45,467,498,269,"Nom 5",,5,"AS Monaco"
1.5,252,372,411,49,"Nom 6",,6,"AS Monaco"
1.5,187,407,436,119,"Nom 7",,7,"AS Monaco"
1.5,110,407,436,199,"Nom 8",,8,"AS Monaco"
1.5,45,372,411,269,"Nom 9",,9,"AS Monaco"
1.5,197,322,355,119,"Nom 10",,10,"AS Monaco"
1.5,100,322,355,199,"Nom 11",,11,"AS Monaco"
