picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,"Nom 1",,1,"AC Ajaccio"
1.5,45,120,129,269,"Nom 2",,2,"AC Ajaccio"
1.5,110,100,109,199,,,,"AC Ajaccio"
1.5,187,100,109,119,,,,"AC Ajaccio"
1.5,252,120,129,49,,,,"AC Ajaccio"
1.5,45,215,216,269,,,,"AC Ajaccio"
1.5,110,180,191,199,"Nom 7",,7,"AC Ajaccio"
1.5,187,180,191,119,,,,"AC Ajaccio"
1.5,252,215,216,49,,,,"AC Ajaccio"
1.5,100,265,272,199,,,,"AC Ajaccio"
1.5,197,265,272,119,,,,"AC Ajaccio"
1.5,149,557,593,159,,,,"FC Nantes"
1.5,252,467,498,49,,,,"FC Nantes"
1.5,187,487,518,119,,,,"FC Nantes"
1.5,110,487,518,199,,,,"FC Nantes"
1.5,45,467,498,269,,,,"FC Nantes"
1.5,252,372,411,49,,,,"FC Nantes"
1.5,187,407,436,119,"Nom 27",,27,"FC Nantes"
1.5,110,407,436,199,,,,"FC Nantes"
1.5,45,372,411,269,,,,"FC Nantes"
1.5,197,322,355,119,,,,"FC Nantes"
1.5,100,322,355,199,,,,"FC Nantes"
