picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,ccccc,,3,"AC Ajaccio"
1.5,75,110,114,244,ccc,,1,"AC Ajaccio"
1.5,149,90,104,159,cccccc,,,"AC Ajaccio"
1.5,223,110,114,74,,,,"AC Ajaccio"
1.5,42,190,193,269,,,,"AC Ajaccio"
1.5,108,160,168,199,,,,"AC Ajaccio"
1.5,189,160,168,119,,,,"AC Ajaccio"
1.5,255,190,193,49,,,,"AC Ajaccio"
1.5,67,244,259,239,,,,"AC Ajaccio"
1.5,149,265,277,159,,,,"AC Ajaccio"
1.5,230,244,259,79,,,,"AC Ajaccio"
,,,,,xxxxx,,3,"AS Monaco"
,,,,,xxxxx,,1,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
,,,,,,,,"AS Monaco"
