picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
1.5,149,30,34,159,ccccc,,,"FC Nantes"
1.5,65,112,116,250,ccc,(C),,"FC Nantes"
1.5,149,112,116,159,cccccc,,,"FC Nantes"
1.5,235,112,116,73,,,,"FC Nantes"
1.5,31,165,170,282,,,,"FC Nantes"
1.5,105,165,170,197,,,,"FC Nantes"
1.5,191,165,170,112,,,,"FC Nantes"
1.5,265,165,170,28,,,,"FC Nantes"
1.5,149,217,233,159,,,,"FC Nantes"
1.5,119,269,272,205,,,,"FC Nantes"
1.5,179,269,272,115,,,,"FC Nantes"
1.5,149,557,593,159,xxxxx,,,"AS Monaco"
1.5,252,467,498,49,,(C),,"AS Monaco"
1.5,193,497,528,114,,,,"AS Monaco"
1.5,106,497,528,204,,,,"AS Monaco"
1.5,45,467,498,269,,,,"AS Monaco"
1.5,223,402,434,89,,,,"AS Monaco"
1.5,149,422,449,159,,,,"AS Monaco"
1.5,75,402,434,229,,,,"AS Monaco"
1.5,242,343,363,59,,,,"AS Monaco"
1.5,149,322,355,159,,,,"AS Monaco"
1.5,55,343,363,259,,,,"AS Monaco"
