picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,TATATATATAT,,1,Pau
1.5,150,270,275,155,"TEST NICO",,2,Pau
1.5,45,270,275,265,"TEST NICO",,3,Pau
1.5,200,225,225,110,"TEST NICO",(C),4,Pau
1.5,100,225,225,200,"TEST NICO",,5,Pau
1.5,250,180,185,35,"TEST NICO",,6,Pau
1.5,45,180,185,279,"TEST NICO",,7,Pau
1.5,150,180,185,155,"TEST NICO",,8,Pau
1.5,205,135,135,75,"TEST NICO",,9,Pau
1.5,90,135,135,240,"TEST NICO",,10,Pau
1.5,275,90,85,15,"TEST NICO",,11,Pau
1.5,195,90,85,110,"TEST NICO",,12,Pau
1.5,100,90,85,205,"TEST NICO",,13,Pau
1.5,25,90,85,300,"TEST NICO",,14,Pau
1.5,150,50,40,155,"TEST NICO",,15,Pau
1.5,45,315,355,265,"TEST NICO",,1,Toulouse
1.5,150,315,355,155,"TEST NICO",(C),2,Toulouse
1.5,250,315,355,50,"TEST NICO",,3,Toulouse
1.5,200,360,405,200,"TEST NICO",,4,Toulouse
1.5,100,360,405,110,"TEST NICO",,5,Toulouse
1.5,45,405,450,279,"TEST NICO",,6,Toulouse
1.5,250,405,450,35,"TEST NICO",,7,Toulouse
1.5,150,405,450,155,"TEST NICO",,8,Toulouse
1.5,90,450,500,240,"TEST NICO",,9,Toulouse
1.5,205,450,500,75,"TEST NICO",,10,Toulouse
1.5,25,495,545,300,"TEST NICO",,11,Toulouse
1.5,105,495,545,205,"TEST NICO",,12,Toulouse
1.5,200,495,545,110,"TEST NICO",,13,Toulouse
1.5,275,495,545,15,"TEST NICO",,14,Toulouse
1.5,150,535,590,155,"TEST NICO",,15,Toulouse
