picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Marchand,,2,France
1.5,45,270,275,265,Atonio,,3,France
1.5,200,225,225,110,Woki,,4,France
1.5,100,225,225,200,Willemse,,5,France
1.5,250,180,185,35,Cros,,6,France
1.5,45,180,185,279,Jelonch,,7,France
1.5,150,180,185,155,Aldritt,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Ntamack,,10,France
1.5,275,90,85,15,Villière,,11,France
1.5,195,90,85,110,Moefana,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Porter,,1,Irlande
1.5,150,315,355,155,Kelleher,,2,Irlande
1.5,250,315,355,50,Furlong,,3,Irlande
1.5,200,360,405,200,Beirne,,4,Irlande
1.5,100,360,405,110,Ryan,,5,Irlande
1.5,45,405,450,279,Doris,,6,Irlande
1.5,250,405,450,35,"Van der Flier",,7,Irlande
1.5,150,405,450,155,Conan,,8,Irlande
1.5,90,450,500,240,Gibson-Park,,9,Irlande
1.5,205,450,500,75,Carbery,,10,Irlande
1.5,25,495,545,300,Hansen,,11,Irlande
1.5,105,495,545,205,Aki,,12,Irlande
1.5,200,495,545,110,Ringrose,,13,Irlande
1.5,275,495,545,15,Conway,,14,Irlande
1.5,150,535,590,155,Keenan,,15,Irlande
