picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Marchand,,2,France
1.5,45,270,275,265,Atonio,,3,France
1.5,200,225,225,110,Woki,,4,France
1.5,100,225,225,200,Willemse,,5,France
1.5,250,180,185,35,Jelonch,,6,France
1.5,45,180,185,279,Cretin,,7,France
1.5,150,180,185,155,Alldritt,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Ntamack,,10,France
1.5,275,90,85,15,Villière,,11,France
1.5,195,90,85,110,Danty,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Fischetti,,1,Italie
1.5,150,315,355,155,Lucchesi,,2,Italie
1.5,250,315,355,50,Pasquali,,3,Italie
1.5,200,360,405,200,Cannone,,4,Italie
1.5,100,360,405,110,Ruzza,,5,Italie
1.5,45,405,450,279,Negri,,6,Italie
1.5,250,405,450,35,Lamaro,(C),7,Italie
1.5,150,405,450,155,Halafihi,,8,Italie
1.5,90,450,500,240,Varney,,9,Italie
1.5,205,450,500,75,Garbisi,,10,Italie
1.5,25,495,545,300,Ioane,,11,Italie
1.5,105,495,545,205,Zanon,,12,Italie
1.5,200,495,545,110,Brex,,13,Italie
1.5,275,495,545,15,Menoncello,,14,Italie
1.5,150,535,590,155,Padovani,,15,Italie
