picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Lindelauf,,1,France
1.5,150,270,275,155,Sochat,,2,France
1.5,45,270,275,265,Deshayes,,3,France
1.5,200,225,225,110,Ferer,,4,France
1.5,100,225,225,200,Forlani,,5,France
1.5,250,180,185,35,Hermet,(C),6,France
1.5,45,180,185,279,Ménager,,7,France
1.5,150,180,185,155,Gros,,8,France
1.5,205,135,135,75,Bourdon,,9,France
1.5,90,135,135,240,Drouin,,10,France
1.5,275,90,85,15,Boujard,,11,France
1.5,195,90,85,110,Vernier,,12,France
1.5,100,90,85,205,Filopon,,13,France
1.5,25,90,85,300,Banet,,14,France
1.5,150,50,40,155,Boulard,,15,France
1.5,45,315,355,265,Love,,1,Nouvelle-Zélande
1.5,150,315,355,155,Houpapa-Barrett,,2,Nouvelle-Zélande
1.5,250,315,355,50,Nelson,,3,Nouvelle-Zélande
1.5,200,360,405,200,Ngan-Woo,,4,Nouvelle-Zélande
1.5,100,360,405,110,Roos,,5,Nouvelle-Zélande
1.5,45,405,450,279,Faleafaga,,6,Nouvelle-Zélande
1.5,250,405,450,35,Elder,(C),7,Nouvelle-Zélande
1.5,150,405,450,155,"Mikaele Tu\'u",,8,Nouvelle-Zélande
1.5,90,450,500,240,Cocksedge,,9,Nouvelle-Zélande
1.5,205,450,500,75,Demant,,10,Nouvelle-Zélande
1.5,25,495,545,300,"Leti-I\'iga",,11,Nouvelle-Zélande
1.5,105,495,545,205,Brazier,,12,Nouvelle-Zélande
1.5,200,495,545,110,Fluhler,,13,Nouvelle-Zélande
1.5,275,495,545,15,Woodman,,14,Nouvelle-Zélande
1.5,150,535,590,155,Robins-Reti,,15,Nouvelle-Zélande
