picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Letort,,1,Pau
1.5,150,270,275,155,Letort,,2,Pau
1.5,45,270,275,265,Letort,,3,Pau
1.5,200,225,225,110,Letort,(C),4,Pau
1.5,100,225,225,200,Letort,,5,Pau
1.5,250,180,185,35,Letort,,6,Pau
1.5,45,180,185,279,Letort,,7,Pau
1.5,150,180,185,155,Letort,,8,Pau
1.5,205,135,135,75,Letort,,9,Pau
1.5,90,135,135,240,Letort,,10,Pau
1.5,275,90,85,15,Letort,,11,Pau
1.5,195,90,85,110,Letort,,12,Pau
1.5,100,90,85,205,Letort,,13,Pau
1.5,25,90,85,300,Letort,,14,Pau
1.5,150,50,40,155,Letort,,15,Pau
1.5,45,315,355,265,Carrère,,1,Montpellier
1.5,150,315,355,155,Carrère,,2,Montpellier
1.5,250,315,355,50,Carrère,,3,Montpellier
1.5,200,360,405,200,Carrère,,4,Montpellier
1.5,100,360,405,110,Carrère,,5,Montpellier
1.5,45,405,450,279,Carrère,,6,Montpellier
1.5,250,405,450,35,Carrère,,7,Montpellier
1.5,150,405,450,155,Carrère,,8,Montpellier
1.5,90,450,500,240,Carrère,,9,Montpellier
1.5,205,450,500,75,Carrère,,10,Montpellier
1.5,25,495,545,300,Carrère,(C),11,Montpellier
1.5,105,495,545,205,Carrère,,12,Montpellier
1.5,200,495,545,110,Carrère,,13,Montpellier
1.5,275,495,545,15,Carrère,,14,Montpellier
1.5,150,535,590,155,Carrère,,15,Montpellier
