picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Tokolahi,,3,Pau
1.5,200,225,225,110,Tagitagivalu,,4,Pau
1.5,100,225,225,200,Delannoy,,5,Pau
1.5,250,180,185,35,"Habel Küffner",,6,Pau
1.5,45,180,185,279,Whitelock,,7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Tuimaba,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Decron,,13,Pau
1.5,25,90,85,300,Manu,,14,Pau
1.5,150,50,40,155,Colombet,,15,Pau
1.5,45,315,355,265,Gros,,1,Toulon
1.5,150,315,355,155,Sosene,,2,Toulon
1.5,250,315,355,50,Gigashvili,,3,Toulon
1.5,200,360,405,200,Nakarawa,,4,Toulon
1.5,100,360,405,110,"Alainu\'uese",,5,Toulon
1.5,45,405,450,279,Rebbadj,(C),6,Toulon
1.5,250,405,450,35,Isa,,7,Toulon
1.5,150,405,450,155,Parisse,,8,Toulon
1.5,90,450,500,240,Serin,,9,Toulon
1.5,205,450,500,75,Carbonel,,10,Toulon
1.5,25,495,545,300,Luc,,11,Toulon
1.5,105,495,545,205,Dachary,,12,Toulon
1.5,200,495,545,110,"Paia\'aua",,13,Toulon
1.5,275,495,545,15,Wainiqolo,,14,Toulon
1.5,150,535,590,155,Cordin,,15,Toulon
