picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Nom 1",,1,"Afrique du Sud"
1.5,150,270,275,155,"Nom 12",,2,"Afrique du Sud"
1.5,45,270,275,265,"Nom 13",,3,"Afrique du Sud"
1.5,200,225,225,110,"Nom 14",(C),4,"Afrique du Sud"
1.5,100,225,225,200,"Nom 15",,5,"Afrique du Sud"
1.5,250,180,185,35,"Nom 16",,6,"Afrique du Sud"
1.5,45,180,185,279,"Nom 17",,7,"Afrique du Sud"
1.5,150,180,185,155,"Nom 18",,8,"Afrique du Sud"
1.5,205,135,135,75,"Nom 19",,9,"Afrique du Sud"
1.5,90,135,135,240,"Nom 110",,10,"Afrique du Sud"
1.5,275,90,85,15,"Nom 111",,11,"Afrique du Sud"
1.5,195,90,85,110,"Nom 112",,12,"Afrique du Sud"
1.5,100,90,85,205,"Nom 113",,13,"Afrique du Sud"
1.5,25,90,85,300,"Nom 114",,14,"Afrique du Sud"
1.5,150,50,40,155,"Nom 115",,15,"Afrique du Sud"
1.5,45,315,355,265,"Nom 1",,1,Argentine
1.5,150,315,355,155,"Nom 22",,2,Argentine
1.5,250,315,355,50,"Nom 23",(C),3,Argentine
1.5,200,360,405,200,"Nom 24",,4,Argentine
1.5,100,360,405,110,"Nom 25",,5,Argentine
1.5,45,405,450,279,"Nom 6",,6,Argentine
1.5,250,405,450,35,"Nom 7",,7,Argentine
1.5,150,405,450,155,"Nom 28",,8,Argentine
1.5,90,450,500,240,"Nom 29",,9,Argentine
1.5,205,450,500,75,"Nom 210",,10,Argentine
1.5,25,495,545,300,"Nom 11",,11,Argentine
1.5,105,495,545,205,"Nom 212",,12,Argentine
1.5,200,495,545,110,"Nom 213",,13,Argentine
1.5,275,495,545,15,"Nom 214",,14,Argentine
1.5,150,535,590,155,Equipe215,,15,Argentine
