picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"S. Cormenier",,1,Bayonne
1.5,150,270,275,155,"F. Bosch",,2,Bayonne
1.5,45,270,275,265,"P. Cotet",,3,Bayonne
1.5,200,225,225,110,"M. Leindekar",,4,Bayonne
1.5,100,225,225,200,"T. Ceyte",,5,Bayonne
1.5,250,180,185,35,"D. Marchois",,6,Bayonne
1.5,45,180,185,279,"P. Huguet",,7,Bayonne
1.5,150,180,185,155,"U. Cassiem",,8,Bayonne
1.5,205,135,135,75,"G. Rouet",,9,Bayonne
1.5,90,135,135,240,"C. Lopez",,10,Bayonne
1.5,275,90,85,15,"R. Baget",,11,Bayonne
1.5,195,90,85,110,"G. Martocq",,12,Bayonne
1.5,100,90,85,205,"S. Maqala",,13,Bayonne
1.5,25,90,85,300,"T. Jacquelain",,14,Bayonne
1.5,150,50,40,155,"G. Germain",,15,Bayonne
1.5,45,315,355,265,"U. Boniface",,1,Bordeaux-Bègles
1.5,150,315,355,155,"M. Lamothe",,2,Bordeaux-Bègles
1.5,250,315,355,50,"B. Tameifuna",,3,Bordeaux-Bègles
1.5,200,360,405,200,"K. Douglas",,4,Bordeaux-Bègles
1.5,100,360,405,110,"C. Cazeaux",,5,Bordeaux-Bègles
1.5,45,405,450,279,"A. Miquel",,6,Bordeaux-Bègles
1.5,250,405,450,35,"M. Diaby",,7,Bordeaux-Bègles
1.5,150,405,450,155,"C. Timu",,8,Bordeaux-Bègles
1.5,90,450,500,240,"M. Lucu",,9,Bordeaux-Bègles
1.5,205,450,500,75,"M. Jalibert",,10,Bordeaux-Bègles
1.5,25,495,545,300,"F. Mori",,11,Bordeaux-Bègles
1.5,105,495,545,205,"T. Vili",,12,Bordeaux-Bègles
1.5,200,495,545,110,"Y. Moefana",,13,Bordeaux-Bègles
1.5,275,495,545,15,"G. Cros",,14,Bordeaux-Bègles
1.5,150,535,590,155,"R. Buros",,15,Bordeaux-Bègles
