picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,Peyresblanques,(C),2,Biarritz
1.5,45,270,275,265,"El Fakir",,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Olmstead,,5,Biarritz
1.5,250,180,185,35,"O\'Callaghan",,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Dixon,,8,Biarritz
1.5,205,135,135,75,Cubelli,,9,Biarritz
1.5,90,135,135,240,Bosch,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Plessis-Couillaud,,13,Biarritz
1.5,25,90,85,300,Martin,,14,Biarritz
1.5,150,50,40,155,Lucu,,15,Biarritz
1.5,45,315,355,265,Seneca,,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Corato,,3,Pau
1.5,200,360,405,200,Puech,,4,Pau
1.5,100,360,405,110,Tagitagivalu,,5,Pau
1.5,45,405,450,279,Habel-Küffner,,6,Pau
1.5,250,405,450,35,Hewat,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Hastoy,(C),10,Pau
1.5,25,495,545,300,"Ikpefan ",,11,Pau
1.5,105,495,545,205,Zanon,,12,Pau
1.5,200,495,545,110,Manu,,13,Pau
1.5,275,495,545,15,Barrett,,14,Pau
1.5,150,535,590,155,Henry,,15,Pau
