picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cronin,,1,Biarritz
1.5,150,270,275,155,Peyresblanques,,2,Biarritz
1.5,45,270,275,265,Millar,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Olmstead,,5,Biarritz
1.5,250,180,185,35,Cramond,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Stark,,14,Biarritz
1.5,150,50,40,155,Lonca,(C),15,Biarritz
1.5,45,315,355,265,Gogichashvili,,1,"Racing 92"
1.5,150,315,355,155,Baubigny,,2,"Racing 92"
1.5,250,315,355,50,Colombe,,3,"Racing 92"
1.5,200,360,405,200,"Le Roux",,4,"Racing 92"
1.5,100,360,405,110,Palu,,5,"Racing 92"
1.5,45,405,450,279,Diallo,,6,"Racing 92"
1.5,250,405,450,35,Chouzenoux,,7,"Racing 92"
1.5,150,405,450,155,Joseph,,8,"Racing 92"
1.5,90,450,500,240,"Le Garrec",,9,"Racing 92"
1.5,205,450,500,75,Volavola,,10,"Racing 92"
1.5,25,495,545,300,Imhoff,,11,"Racing 92"
1.5,105,495,545,205,Fickou,(C),12,"Racing 92"
1.5,200,495,545,110,Klemenczak,,13,"Racing 92"
1.5,275,495,545,15,Dupichot,,14,"Racing 92"
1.5,150,535,590,155,Beale,,15,"Racing 92"
