picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Millar,,1,Biarritz
1.5,150,270,275,155,Ruffenach,,2,Biarritz
1.5,45,270,275,265,Samaran,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Cramond,,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Armitage,(C),8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Speight,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Barry,,14,Biarritz
1.5,150,50,40,155,Lonca,,15,Biarritz
1.5,45,315,355,265,Neti,,1,Toulouse
1.5,150,315,355,155,Marchand,(C),2,Toulouse
1.5,250,315,355,50,Faumuina,,3,Toulouse
1.5,200,360,405,200,Youyoutte,,4,Toulouse
1.5,100,360,405,110,Flament,,5,Toulouse
1.5,45,405,450,279,Jelonch,,6,Toulouse
1.5,250,405,450,35,Placines,,7,Toulouse
1.5,150,405,450,155,Miquel,,8,Toulouse
1.5,90,450,500,240,Balès,,9,Toulouse
1.5,205,450,500,75,Nanai-Williams,,10,Toulouse
1.5,25,495,545,300,Médard,,11,Toulouse
1.5,105,495,545,205,Akhi,,12,Toulouse
1.5,200,495,545,110,Tauzin,,13,Toulouse
1.5,275,495,545,15,Bonneval,,14,Toulouse
1.5,150,535,590,155,Ramos,,15,Toulouse
