picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Kaulashvili,,1,Bordeaux-Bègles
1.5,150,270,275,155,Maynadier,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Marais,,5,Bordeaux-Bègles
1.5,250,180,185,35,Petti,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,(C),7,Bordeaux-Bègles
1.5,150,180,185,155,"Vergnes Taillefer",,8,Bordeaux-Bègles
1.5,205,135,135,75,Lesgourgues,,9,Bordeaux-Bègles
1.5,90,135,135,240,"U. Seuteni",,10,Bordeaux-Bègles
1.5,275,90,85,15,Lam,,11,Bordeaux-Bègles
1.5,195,90,85,110,Lamerat,,12,Bordeaux-Bègles
1.5,100,90,85,205,Dubié,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cordero,,14,Bordeaux-Bègles
1.5,150,50,40,155,Ducuing,,15,Bordeaux-Bègles
1.5,45,315,355,265,Ravai,,1,Clermont
1.5,150,315,355,155,Beheregaray,,2,Clermont
1.5,250,315,355,50,Slimani,,3,Clermont
1.5,200,360,405,200,Lavanini,,4,Clermont
1.5,100,360,405,110,Vahaamahina,,5,Clermont
1.5,45,405,450,279,Iturria,(C),6,Clermont
1.5,250,405,450,35,Cancoriet,,7,Clermont
1.5,150,405,450,155,"F. Lee",,8,Clermont
1.5,90,450,500,240,Parra,,9,Clermont
1.5,205,450,500,75,Hanrahan,,10,Clermont
1.5,25,495,545,300,Pourailly,,11,Clermont
1.5,105,495,545,205,Barraque,,12,Clermont
1.5,200,495,545,110,Moala,,13,Clermont
1.5,275,495,545,15,"O\'Connor",,14,Clermont
1.5,150,535,590,155,Matsushima,,15,Clermont
