picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Maynadier,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Jolmes,,5,Bordeaux-Bègles
1.5,250,180,185,35,Woki,,6,Bordeaux-Bègles
1.5,45,180,185,279,Vergnes,,7,Bordeaux-Bègles
1.5,150,180,185,155,Picamoles,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Trinh-Duc,,10,Bordeaux-Bègles
1.5,275,90,85,15,Lam,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Dubié,,13,Bordeaux-Bègles
1.5,25,90,85,300,Mori,,14,Bordeaux-Bègles
1.5,150,50,40,155,Ducuing,,15,Bordeaux-Bègles
1.5,45,315,355,265,Genge,(C),1,Leicester
1.5,150,315,355,155,Dolly,,2,Leicester
1.5,250,315,355,50,Heyes,,3,Leicester
1.5,200,360,405,200,Chessum,,4,Leicester
1.5,100,360,405,110,Green,,5,Leicester
1.5,45,405,450,279,Martin,,6,Leicester
1.5,250,405,450,35,Reffell,,7,Leicester
1.5,150,405,450,155,Wiese,,8,Leicester
1.5,90,450,500,240,"Van Portvliet",,9,Leicester
1.5,205,450,500,75,Ford,,10,Leicester
1.5,25,495,545,300,Saumaki,,11,Leicester
1.5,105,495,545,205,Scott,,12,Leicester
1.5,200,495,545,110,Porter,,13,Leicester
1.5,275,495,545,15,Potter,,14,Leicester
1.5,150,535,590,155,Hegarty,,15,Leicester
