picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Paiva ",,1,Bordeaux-Bègles
1.5,150,270,275,155,"Lamothe ",,2,Bordeaux-Bègles
1.5,45,270,275,265,"Tameifuna ",,3,Bordeaux-Bègles
1.5,200,225,225,110,"Douglas ",,4,Bordeaux-Bègles
1.5,100,225,225,200,"J. Marais",,5,Bordeaux-Bègles
1.5,250,180,185,35,"Woki ",,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,(C),7,Bordeaux-Bègles
1.5,150,180,185,155,"Roussel ",,8,Bordeaux-Bègles
1.5,205,135,135,75,"M. Lucu",,9,Bordeaux-Bègles
1.5,90,135,135,240,"Jalibert ",,10,Bordeaux-Bègles
1.5,275,90,85,15,"Lam ",,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Seuteni,,13,Bordeaux-Bègles
1.5,25,90,85,300,Hulleu,,14,Bordeaux-Bègles
1.5,150,50,40,155,Ducuing,,15,Bordeaux-Bègles
1.5,45,315,355,265,"Forletta ",,1,Montpellier
1.5,150,315,355,155,"Greyling ",,2,Montpellier
1.5,250,315,355,50,"Lamositele ",,3,Montpellier
1.5,200,360,405,200,"Verhaeghe ",,4,Montpellier
1.5,100,360,405,110,"Duguid ",,5,Montpellier
1.5,45,405,450,279,"Y. Camara",(C),6,Montpellier
1.5,250,405,450,35,Dakuwaqa,,7,Montpellier
1.5,150,405,450,155,Bécognée,,8,Montpellier
1.5,90,450,500,240,"Reinach ",,9,Montpellier
1.5,205,450,500,75,Garbisi,,10,Montpellier
1.5,25,495,545,300,"Lucas ",,11,Montpellier
1.5,105,495,545,205,"Doumayrou ",,12,Montpellier
1.5,200,495,545,110,Darmon,,13,Montpellier
1.5,275,495,545,15,"Vici ",,14,Montpellier
1.5,150,535,590,155,"Bouthier ",,15,Montpellier
