picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Paiva,,1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Marais,,5,Bordeaux-Bègles
1.5,250,180,185,35,Woki,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,(C),7,Bordeaux-Bègles
1.5,150,180,185,155,Vergnes-Taillefer,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Lam,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Seuteni,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cordero,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Kolingar,,1,"Racing 92"
1.5,150,315,355,155,Baubigny,,2,"Racing 92"
1.5,250,315,355,50,Nyakane,,3,"Racing 92"
1.5,200,360,405,200,"Le Roux",,4,"Racing 92"
1.5,100,360,405,110,Bresler,,5,"Racing 92"
1.5,45,405,450,279,Lauret,,6,"Racing 92"
1.5,250,405,450,35,Diallo,,7,"Racing 92"
1.5,150,405,450,155,Tanga,,8,"Racing 92"
1.5,90,450,500,240,"Le Garrec",,9,"Racing 92"
1.5,205,450,500,75,Volavola,,10,"Racing 92"
1.5,25,495,545,300,Imhoff,,11,"Racing 92"
1.5,105,495,545,205,Fickou,(C),12,"Racing 92"
1.5,200,495,545,110,Vakatawa,,13,"Racing 92"
1.5,275,495,545,15,Thomas,,14,"Racing 92"
1.5,150,535,590,155,Spring,,15,"Racing 92"
