picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,ww,,1,Bordeaux-Bègles
1.5,150,270,275,155,ww,,2,Bordeaux-Bègles
1.5,45,270,275,265,ww,,3,Bordeaux-Bègles
1.5,200,225,225,110,ww,,4,Bordeaux-Bègles
1.5,100,225,225,200,ww,,5,Bordeaux-Bègles
1.5,250,180,185,35,ww,,6,Bordeaux-Bègles
1.5,45,180,185,279,ww,,7,Bordeaux-Bègles
1.5,150,180,185,155,ww,,8,Bordeaux-Bègles
1.5,205,135,135,75,ww,,9,Bordeaux-Bègles
1.5,90,135,135,240,ww,,10,Bordeaux-Bègles
1.5,275,90,85,15,ww,,11,Bordeaux-Bègles
1.5,195,90,85,110,ww,,12,Bordeaux-Bègles
1.5,100,90,85,205,ww,,13,Bordeaux-Bègles
1.5,25,90,85,300,ww,(C),14,Bordeaux-Bègles
1.5,150,50,40,155,ww,,15,Bordeaux-Bègles
1.5,45,315,355,265,ww,,1,Scarlets
1.5,150,315,355,155,ww,,2,Scarlets
1.5,250,315,355,50,ww,,3,Scarlets
1.5,200,360,405,200,ww,,4,Scarlets
1.5,100,360,405,110,ww,,5,Scarlets
1.5,45,405,450,279,ww,,6,Scarlets
1.5,250,405,450,35,ww,,7,Scarlets
1.5,150,405,450,155,ww,,8,Scarlets
1.5,90,450,500,240,ww,,9,Scarlets
1.5,205,450,500,75,ww,,10,Scarlets
1.5,25,495,545,300,ww,,11,Scarlets
1.5,105,495,545,205,ww,,12,Scarlets
1.5,200,495,545,110,ww,,13,Scarlets
1.5,275,495,545,15,ww,,14,Scarlets
1.5,150,535,590,155,ww,(C),15,Scarlets
