picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Vergnes,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Miquel,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Holmes,,10,Bordeaux-Bègles
1.5,275,90,85,15,Tambwe,,11,Bordeaux-Bègles
1.5,195,90,85,110,Lamerat,,12,Bordeaux-Bègles
1.5,100,90,85,205,Moefana,,13,Bordeaux-Bègles
1.5,25,90,85,300,Bielle-Biarey,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Neti,,1,Toulouse
1.5,150,315,355,155,Marchand,(C),2,Toulouse
1.5,250,315,355,50,Faumuina,,3,Toulouse
1.5,200,360,405,200,Brennan,,4,Toulouse
1.5,100,360,405,110,"R. Arnold",,5,Toulouse
1.5,45,405,450,279,Jelonch,,6,Toulouse
1.5,250,405,450,35,Placines,,7,Toulouse
1.5,150,405,450,155,Roumat,,8,Toulouse
1.5,90,450,500,240,Dupont,,9,Toulouse
1.5,205,450,500,75,Ntamack,,10,Toulouse
1.5,25,495,545,300,Lebel,,11,Toulouse
1.5,105,495,545,205,Guitoune,,12,Toulouse
1.5,200,495,545,110,Barassi,,13,Toulouse
1.5,275,495,545,15,Delibes,,14,Toulouse
1.5,150,535,590,155,Ramos,,15,Toulouse
