picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Walcker,,1,Castres
1.5,150,270,275,155,Barlot,,2,Castres
1.5,45,270,275,265,Hounkpatin,,3,Castres
1.5,200,225,225,110,Vanverberghe,,4,Castres
1.5,100,225,225,200,Staniforth,,5,Castres
1.5,250,180,185,35,Babillot,(C),6,Castres
1.5,45,180,185,279,"De Crespigny",,7,Castres
1.5,150,180,185,155,"Ben Nicholas",,8,Castres
1.5,205,135,135,75,Arata,,9,Castres
1.5,90,135,135,240,Urdapilleta,,10,Castres
1.5,275,90,85,15,Nakosi,,11,Castres
1.5,195,90,85,110,Botitu,,12,Castres
1.5,100,90,85,205,Combezou,,13,Castres
1.5,25,90,85,300,Palis,,14,Castres
1.5,150,50,40,155,Dumora,,15,Castres
1.5,45,315,355,265,Baille,,1,Toulouse
1.5,150,315,355,155,Marchand,(C),2,Toulouse
1.5,250,315,355,50,Faumuina,,3,Toulouse
1.5,200,360,405,200,"Ro. Arnold",,4,Toulouse
1.5,100,360,405,110,"Ri. Arnold",,5,Toulouse
1.5,45,405,450,279,Jelonch,,6,Toulouse
1.5,250,405,450,35,Elstadt,,7,Toulouse
1.5,150,405,450,155,Tolofua,,8,Toulouse
1.5,90,450,500,240,Dupont,,9,Toulouse
1.5,205,450,500,75,Ntamack,,10,Toulouse
1.5,25,495,545,300,Lebel,,11,Toulouse
1.5,105,495,545,205,Ahki,,12,Toulouse
1.5,200,495,545,110,Fouyssac,,13,Toulouse
1.5,275,495,545,15,Mallia,,14,Toulouse
1.5,150,535,590,155,Ramos,,15,Toulouse
