picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Falgoux,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Ojovan,,3,Clermont
1.5,200,225,225,110,Jedrasiak,,4,Clermont
1.5,100,225,225,200,Vahaamahina,,5,Clermont
1.5,250,180,185,35,Iturria,(C),6,Clermont
1.5,45,180,185,279,Dessaigne,,7,Clermont
1.5,150,180,185,155,"Van Tonder",,8,Clermont
1.5,205,135,135,75,Bezy,,9,Clermont
1.5,90,135,135,240,Belleau,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Simone,,12,Clermont
1.5,100,90,85,205,Penaud,,13,Clermont
1.5,25,90,85,300,Delguy,,14,Clermont
1.5,150,50,40,155,Tiberghien,,15,Clermont
1.5,45,315,355,265,Tameifuna,,1,Bordeaux-Bègles
1.5,150,315,355,155,Lamothe,,2,Bordeaux-Bègles
1.5,250,315,355,50,Falatea,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Cazeaux,,5,Bordeaux-Bègles
1.5,45,405,450,279,Marais,,6,Bordeaux-Bègles
1.5,250,405,450,35,Vergnes,,7,Bordeaux-Bègles
1.5,150,405,450,155,Diaby,(C),8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Jalibert,,10,Bordeaux-Bègles
1.5,25,495,545,300,Tambwe,,11,Bordeaux-Bègles
1.5,105,495,545,205,Vili,,12,Bordeaux-Bègles
1.5,200,495,545,110,Moefana,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cordero,,14,Bordeaux-Bègles
1.5,150,535,590,155,Buros,,15,Bordeaux-Bègles
