picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Falgoux,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Ojovan,,3,Clermont
1.5,200,225,225,110,Lanen,,4,Clermont
1.5,100,225,225,200,Jedrasiak,,5,Clermont
1.5,250,180,185,35,Dessaigne,,6,Clermont
1.5,45,180,185,279,Iturria,(C),7,Clermont
1.5,150,180,185,155,Lee,,8,Clermont
1.5,205,135,135,75,Bézy,,9,Clermont
1.5,90,135,135,240,Plisson,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Simone,,12,Clermont
1.5,100,90,85,205,Hériteau,,13,Clermont
1.5,25,90,85,300,Penaud,,14,Clermont
1.5,150,50,40,155,Newsome,,15,Clermont
1.5,45,315,355,265,Paiva,,1,"La Rochelle"
1.5,150,315,355,155,Bourgarit,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Sazy,,4,"La Rochelle"
1.5,100,360,405,110,Skelton,,5,"La Rochelle"
1.5,45,405,450,279,Tanga,,6,"La Rochelle"
1.5,250,405,450,35,"Pa. Boudehent",,7,"La Rochelle"
1.5,150,405,450,155,Alldritt,(C),8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Hastoy,,10,"La Rochelle"
1.5,25,495,545,300,Favre,,11,"La Rochelle"
1.5,105,495,545,205,Danty,,12,"La Rochelle"
1.5,200,495,545,110,Seuteni,,13,"La Rochelle"
1.5,275,495,545,15,Thomas,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
