picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"LE MERLE",,1,Ecosse
1.5,150,270,275,155,VV,,2,Ecosse
1.5,45,270,275,265,VV,,3,Ecosse
1.5,200,225,225,110,VV,,4,Ecosse
1.5,100,225,225,200,VV,,5,Ecosse
1.5,250,180,185,35,VV,,6,Ecosse
1.5,45,180,185,279,V,,7,Ecosse
1.5,150,180,185,155,V,,8,Ecosse
1.5,205,135,135,75,V,,9,Ecosse
1.5,90,135,135,240,V,,10,Ecosse
1.5,275,90,85,15,V,,11,Ecosse
1.5,195,90,85,110,V,,12,Ecosse
1.5,100,90,85,205,V,(C),13,Ecosse
1.5,25,90,85,300,v,,14,Ecosse
1.5,150,50,40,155,V,,15,Ecosse
1.5,45,315,355,265,VV,,1,Angleterre
1.5,150,315,355,155,VV,,2,Angleterre
1.5,250,315,355,50,VV,,3,Angleterre
1.5,200,360,405,200,VV,,4,Angleterre
1.5,100,360,405,110,VV,,5,Angleterre
1.5,45,405,450,279,VV,,6,Angleterre
1.5,250,405,450,35,V,,7,Angleterre
1.5,150,405,450,155,V,,8,Angleterre
1.5,90,450,500,240,V,,9,Angleterre
1.5,205,450,500,75,V,,10,Angleterre
1.5,25,495,545,300,V,,11,Angleterre
1.5,105,495,545,205,V,(C),12,Angleterre
1.5,200,495,545,110,V,,13,Angleterre
1.5,275,495,545,15,V,,14,Angleterre
1.5,150,535,590,155,V,,15,Angleterre
