picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Schoeman,,1,Ecosse
1.5,150,270,275,155,Mcinally,,2,Ecosse
1.5,45,270,275,265,"Z. Fagerson",,3,Ecosse
1.5,200,225,225,110,Skinner,,4,Ecosse
1.5,100,225,225,200,Gilchrist,,5,Ecosse
1.5,250,180,185,35,Haining,,6,Ecosse
1.5,45,180,185,279,Darge,,7,Ecosse
1.5,150,180,185,155,Bradbury,,8,Ecosse
1.5,205,135,135,75,Price,,9,Ecosse
1.5,90,135,135,240,Russell,,10,Ecosse
1.5,275,90,85,15,"Van der Merwe",,11,Ecosse
1.5,195,90,85,110,Tuipulotu,,12,Ecosse
1.5,100,90,85,205,Harris,,13,Ecosse
1.5,25,90,85,300,Graham,,14,Ecosse
1.5,150,50,40,155,Hogg,(C),15,Ecosse
1.5,45,315,355,265,Baille,,1,France
1.5,150,315,355,155,Marchand,,2,France
1.5,250,315,355,50,Atonio,,3,France
1.5,200,360,405,200,Woki,,4,France
1.5,100,360,405,110,Willemse,,5,France
1.5,45,405,450,279,Cros,,6,France
1.5,250,405,450,35,Jelonch,,7,France
1.5,150,405,450,155,Alldritt,,8,France
1.5,90,450,500,240,Dupont,(C),9,France
1.5,205,450,500,75,Ntamack,,10,France
1.5,25,495,545,300,Moefana,,11,France
1.5,105,495,545,205,Danty,,12,France
1.5,200,495,545,110,Fickou,,13,France
1.5,275,495,545,15,Penaud,,14,France
1.5,150,535,590,155,Jaminet,,15,France
