picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,BAILLE,,1,France
1.5,150,270,275,155,MARCHAND,,2,France
1.5,45,270,275,265,ATONIO,,3,France
1.5,200,225,225,110,WOKI,,4,France
1.5,100,225,225,200,FLAMENT,,5,France
1.5,250,180,185,35,JELONCH,,6,France
1.5,45,180,185,279,OLLIVON,,7,France
1.5,150,180,185,155,ALLDRITT,,8,France
1.5,205,135,135,75,DUPONT,(C),9,France
1.5,90,135,135,240,NTAMACK,,10,France
1.5,275,90,85,15,MOEFANA,,11,France
1.5,195,90,85,110,DANTY,,12,France
1.5,100,90,85,205,FICKOU,,13,France
1.5,25,90,85,300,PENAUD,,14,France
1.5,150,50,40,155,RAMOS,,15,France
1.5,45,315,355,265,NCHE,,1,"Afrique du Sud"
1.5,150,315,355,155,MBONAMBI,,2,"Afrique du Sud"
1.5,250,315,355,50,MALHERBE,,3,"Afrique du Sud"
1.5,200,360,405,200,ETZEBETH,,4,"Afrique du Sud"
1.5,100,360,405,110,MOSTERT,,5,"Afrique du Sud"
1.5,45,405,450,279,KOLISI,(C),6,"Afrique du Sud"
1.5,250,405,450,35,"DU TOIT",,7,"Afrique du Sud"
1.5,150,405,450,155,SMITH,,8,"Afrique du Sud"
1.5,90,450,500,240,"DE KLERK",,9,"Afrique du Sud"
1.5,205,450,500,75,WILLEMSE,,10,"Afrique du Sud"
1.5,25,495,545,300,ARENDSE,,11,"Afrique du Sud"
1.5,105,495,545,205,"DE ALLENDE",,12,"Afrique du Sud"
1.5,200,495,545,110,KRIEL,,13,"Afrique du Sud"
1.5,275,495,545,15,KOLBE,,14,"Afrique du Sud"
1.5,150,535,590,155,"LE ROUX",,15,"Afrique du Sud"
