picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Mauvaka,,2,France
1.5,45,270,275,265,Atonio,,3,France
1.5,200,225,225,110,Woki,,4,France
1.5,100,225,225,200,Willemse,,5,France
1.5,250,180,185,35,Cros,,6,France
1.5,45,180,185,279,Jelonch,,7,France
1.5,150,180,185,155,Alldritt,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Ntamack,,10,France
1.5,275,90,85,15,Villière,,11,France
1.5,195,90,85,110,Danty,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Moody,,1,Nouvelle-Zélande
1.5,150,315,355,155,Coles,,2,Nouvelle-Zélande
1.5,250,315,355,50,Laulala,,3,Nouvelle-Zélande
1.5,200,360,405,200,Retallick,,4,Nouvelle-Zélande
1.5,100,360,405,110,Whitelock,(C),5,Nouvelle-Zélande
1.5,45,405,450,279,"A. Ioane",,6,Nouvelle-Zélande
1.5,250,405,450,35,Cane,,7,Nouvelle-Zélande
1.5,150,405,450,155,Savea,,8,Nouvelle-Zélande
1.5,90,450,500,240,Smith,,9,Nouvelle-Zélande
1.5,205,450,500,75,"Mo\'unga",,10,Nouvelle-Zélande
1.5,25,495,545,300,Bridge,,11,Nouvelle-Zélande
1.5,105,495,545,205,Tupaea,,12,Nouvelle-Zélande
1.5,200,495,545,110,"R. Ioane",,13,Nouvelle-Zélande
1.5,275,495,545,15,Jordan,,14,Nouvelle-Zélande
1.5,150,535,590,155,Barrett,,15,Nouvelle-Zélande
