picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Inagaki,,1,Japon
1.5,150,270,275,155,"Sakate ",,2,Japon
1.5,45,270,275,265,"Ai Valu",,3,Japon
1.5,200,225,225,110,"van der Walt",,4,Japon
1.5,100,225,225,200,Cornelsen,,5,Japon
1.5,250,180,185,35,"Leitch ",,6,Japon
1.5,45,180,185,279,Gunter,,7,Japon
1.5,150,180,185,155,"Tatafu ",,8,Japon
1.5,205,135,135,75,"Shigeno ",,9,Japon
1.5,90,135,135,240,Seung-Sin,,10,Japon
1.5,275,90,85,15,"Fifita ",,11,Japon
1.5,195,90,85,110,"Nakano ",,12,Japon
1.5,100,90,85,205,"Van den Heever",,13,Japon
1.5,25,90,85,300,"Shunsuke Asaoka",,14,Japon
1.5,150,50,40,155,"Yamanaka ",,15,Japon
1.5,45,315,355,265,Gros,,1,France
1.5,150,315,355,155,Mauvaka,,2,France
1.5,250,315,355,50,Bamba,,3,France
1.5,200,360,405,200,Flament,,4,France
1.5,100,360,405,110,Jolmès,,5,France
1.5,45,405,450,279,Cretin,,6,France
1.5,250,405,450,35,Ollivon,(C),7,France
1.5,150,405,450,155,Tanga,,8,France
1.5,90,450,500,240,Lucu,,9,France
1.5,205,450,500,75,Jalibert,,10,France
1.5,25,495,545,300,Lebel,,11,France
1.5,105,495,545,205,Moefana,,12,France
1.5,200,495,545,110,Vakatawa,,13,France
1.5,275,495,545,15,Penaud,,14,France
1.5,150,535,590,155,Jaminet,,15,France
