picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Nom 1",,1,"La Rochelle"
1.5,150,270,275,155,"Nom 2",,2,"La Rochelle"
1.5,45,270,275,265,"Nom 3",,3,"La Rochelle"
1.5,200,225,225,110,"Nom 4",,4,"La Rochelle"
1.5,100,225,225,200,"Nom 5",,5,"La Rochelle"
1.5,250,180,185,35,"Nom 6",,6,"La Rochelle"
1.5,45,180,185,279,"Nom 7",,7,"La Rochelle"
1.5,150,180,185,155,"Nom 8",(C),8,"La Rochelle"
1.5,205,135,135,75,"Nom 9",,9,"La Rochelle"
1.5,90,135,135,240,"Nom 10",,10,"La Rochelle"
1.5,275,90,85,15,"Nom 11",,11,"La Rochelle"
1.5,195,90,85,110,"Nom 12",,12,"La Rochelle"
1.5,100,90,85,205,"Nom 13",,13,"La Rochelle"
1.5,25,90,85,300,"Nom 14",,14,"La Rochelle"
1.5,150,50,40,155,"Nom 15",,15,"La Rochelle"
1.5,45,315,355,265,"Nom 21",,1,Bordeaux-Bègles
1.5,150,315,355,155,"Nom 22",,2,Bordeaux-Bègles
1.5,250,315,355,50,"Nom 23",,3,Bordeaux-Bègles
1.5,200,360,405,200,"Nom 24",,4,Bordeaux-Bègles
1.5,100,360,405,110,"Nom 25",(C),5,Bordeaux-Bègles
1.5,45,405,450,279,"Nom 26",,6,Bordeaux-Bègles
1.5,250,405,450,35,"Nom 27",,7,Bordeaux-Bègles
1.5,150,405,450,155,"Nom 28",,8,Bordeaux-Bègles
1.5,90,450,500,240,"Nom 29",,9,Bordeaux-Bègles
1.5,205,450,500,75,"Nom 210",,10,Bordeaux-Bègles
1.5,25,495,545,300,"Nom 211",,11,Bordeaux-Bègles
1.5,105,495,545,205,"Nom 212",,12,Bordeaux-Bègles
1.5,200,495,545,110,"Nom 213",,13,Bordeaux-Bègles
1.5,275,495,545,15,"Nom 214",,14,Bordeaux-Bègles
1.5,150,535,590,155,"Nom 215",,15,Bordeaux-Bègles
