picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Nom 1",,1,"La Rochelle"
1.5,150,270,275,155,"Nom 2",,2,"La Rochelle"
1.5,45,270,275,265,,,3,"La Rochelle"
1.5,200,225,225,110,,,4,"La Rochelle"
1.5,100,225,225,200,,,5,"La Rochelle"
1.5,250,180,185,35,,,6,"La Rochelle"
1.5,45,180,185,279,,,7,"La Rochelle"
1.5,150,180,185,155,,,8,"La Rochelle"
1.5,205,135,135,75,,,9,"La Rochelle"
1.5,90,135,135,240,,,10,"La Rochelle"
1.5,275,90,85,15,,,11,"La Rochelle"
1.5,195,90,85,110,,,12,"La Rochelle"
1.5,100,90,85,205,,,13,"La Rochelle"
1.5,25,90,85,300,,,14,"La Rochelle"
1.5,150,50,40,155,,,15,"La Rochelle"
1.5,45,315,355,265,"Nom 21",,1,Brive
1.5,150,315,355,155,"Nom 22",,2,Brive
1.5,250,315,355,50,,,3,Brive
1.5,200,360,405,200,,,4,Brive
1.5,100,360,405,110,,,5,Brive
1.5,45,405,450,279,,,6,Brive
1.5,250,405,450,35,,,7,Brive
1.5,150,405,450,155,,,8,Brive
1.5,90,450,500,240,,,9,Brive
1.5,205,450,500,75,,,10,Brive
1.5,25,495,545,300,,,11,Brive
1.5,105,495,545,205,,,12,Brive
1.5,200,495,545,110,,,13,Brive
1.5,275,495,545,15,,,14,Brive
1.5,150,535,590,155,,,15,Brive
