picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,"La Rochelle"
1.5,150,270,275,155,vv,,2,"La Rochelle"
1.5,45,270,275,265,vv,(C),3,"La Rochelle"
1.5,200,225,225,110,vv,,4,"La Rochelle"
1.5,100,225,225,200,vv,,5,"La Rochelle"
1.5,250,180,185,35,vv,,6,"La Rochelle"
1.5,45,180,185,279,vv,,7,"La Rochelle"
1.5,150,180,185,155,vv,,8,"La Rochelle"
1.5,205,135,135,75,vv,,9,"La Rochelle"
1.5,90,135,135,240,vv,,10,"La Rochelle"
1.5,275,90,85,15,vv,,11,"La Rochelle"
1.5,195,90,85,110,vv,,12,"La Rochelle"
1.5,100,90,85,205,vv,,13,"La Rochelle"
1.5,25,90,85,300,vv,,14,"La Rochelle"
1.5,150,50,40,155,vv,,15,"La Rochelle"
1.5,45,315,355,265,vv,,1,Toulon
1.5,150,315,355,155,vv,(C),2,Toulon
1.5,250,315,355,50,vv,,3,Toulon
1.5,200,360,405,200,vv,,4,Toulon
1.5,100,360,405,110,vv,,5,Toulon
1.5,45,405,450,279,vv,,6,Toulon
1.5,250,405,450,35,vv,,7,Toulon
1.5,150,405,450,155,vv,,8,Toulon
1.5,90,450,500,240,vv,,9,Toulon
1.5,205,450,500,75,vv,,10,Toulon
1.5,25,495,545,300,vv,,11,Toulon
1.5,105,495,545,205,vv,,12,Toulon
1.5,200,495,545,110,vv,,13,Toulon
1.5,275,495,545,15,vv,,14,Toulon
1.5,150,535,590,155,vv,,15,Toulon
