picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Liebenberg,,6,"La Rochelle"
1.5,45,180,185,279,Gourdon,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Berjon,,9,"La Rochelle"
1.5,90,135,135,240,Plisson,,10,"La Rochelle"
1.5,275,90,85,15,Alonso-Muñoz,,11,"La Rochelle"
1.5,195,90,85,110,Favre,,12,"La Rochelle"
1.5,100,90,85,205,Rhule,,13,"La Rochelle"
1.5,25,90,85,300,Leyds,,14,"La Rochelle"
1.5,150,50,40,155,Popelin,,15,"La Rochelle"
1.5,45,315,355,265,Baille,,1,Toulouse
1.5,150,315,355,155,Mauvaka,,2,Toulouse
1.5,250,315,355,50,Aldegheri,,3,Toulouse
1.5,200,360,405,200,Flament,,4,Toulouse
1.5,100,360,405,110,"Ro. Arnold",,5,Toulouse
1.5,45,405,450,279,Cros,,6,Toulouse
1.5,250,405,450,35,Placines,,7,Toulouse
1.5,150,405,450,155,Miquel,,8,Toulouse
1.5,90,450,500,240,Dupont,(C),9,Toulouse
1.5,205,450,500,75,Ntamack,,10,Toulouse
1.5,25,495,545,300,Médard,,11,Toulouse
1.5,105,495,545,205,Holmes,,12,Toulouse
1.5,200,495,545,110,Tauzin,,13,Toulouse
1.5,275,495,545,15,Lebel,,14,Toulouse
1.5,150,535,590,155,Ramos,,15,Toulouse
