picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"S. Taofifenua",,1,Lyon
1.5,150,270,275,155,Marchand,,2,Lyon
1.5,45,270,275,265,Bamba,,3,Lyon
1.5,200,225,225,110,Kpoku,,4,Lyon
1.5,100,225,225,200,"R. Taofifenua",,5,Lyon
1.5,250,180,185,35,Cretin,,6,Lyon
1.5,45,180,185,279,"Fainga a",,7,Lyon
1.5,150,180,185,155,Taufua,,8,Lyon
1.5,205,135,135,75,"Couilloud ",(C),9,Lyon
1.5,90,135,135,240,Berdeu,,10,Lyon
1.5,275,90,85,15,Tuisova,,11,Lyon
1.5,195,90,85,110,Ngatai,,12,Lyon
1.5,100,90,85,205,Barassi,,13,Lyon
1.5,25,90,85,300,Mignot,,14,Lyon
1.5,150,50,40,155," Arnold",,15,Lyon
1.5,45,315,355,265,Wardi,,1,"La Rochelle"
1.5,150,315,355,155,Bosch,,2,"La Rochelle"
1.5,250,315,355,50,Sclavi,,3,"La Rochelle"
1.5,200,360,405,200,Sazy,(C),4,"La Rochelle"
1.5,100,360,405,110,Picquette,,5,"La Rochelle"
1.5,45,405,450,279,Liebenberg,,6,"La Rochelle"
1.5,250,405,450,35,Bourdeau,,7,"La Rochelle"
1.5,150,405,450,155,Haddad-Victor,,8,"La Rochelle"
1.5,90,450,500,240,Berjon,,9,"La Rochelle"
1.5,205,450,500,75,Popelin,,10,"La Rochelle"
1.5,25,495,545,300,Retière,,11,"La Rochelle"
1.5,105,495,545,205,Botia,,12,"La Rochelle"
1.5,200,495,545,110,Rhule,,13,"La Rochelle"
1.5,275,495,545,15,Favre,,14,"La Rochelle"
1.5,150,535,590,155," Dulin",,15,"La Rochelle"
