picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Innocente,,1,Mont-de-Marsan
1.5,150,270,275,155,Latterrade,,2,Mont-de-Marsan
1.5,45,270,275,265,Laval,,3,Mont-de-Marsan
1.5,200,225,225,110,Garrault,,4,Mont-de-Marsan
1.5,100,225,225,200,Cedaro,,5,Mont-de-Marsan
1.5,250,180,185,35,Banos,,6,Mont-de-Marsan
1.5,45,180,185,279,Wavrin,(C),7,Mont-de-Marsan
1.5,150,180,185,155,Faleafa,,8,Mont-de-Marsan
1.5,205,135,135,75,Coly,,9,Mont-de-Marsan
1.5,90,135,135,240,Laousse-Azpiazu,,10,Mont-de-Marsan
1.5,275,90,85,15,Cabannes,,11,Mont-de-Marsan
1.5,195,90,85,110,Mensa,,12,Mont-de-Marsan
1.5,100,90,85,205,Wakaya,,13,Mont-de-Marsan
1.5,25,90,85,300,Goneva,,14,Mont-de-Marsan
1.5,150,50,40,155,"De Nardi",,15,Mont-de-Marsan
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,"Van Jaarsveld",,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Galarza,(C),4,Bayonne
1.5,100,360,405,110,Marchois,,5,Bayonne
1.5,45,405,450,279,Usarraga,,6,Bayonne
1.5,250,405,450,35,Héguy,,7,Bayonne
1.5,150,405,450,155,Amosa,,8,Bayonne
1.5,90,450,500,240,Rouet,,9,Bayonne
1.5,205,450,500,75,Dolhagaray,,10,Bayonne
1.5,25,495,545,300,Ravouvou,,11,Bayonne
1.5,105,495,545,205,David,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Baget,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
