picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Woodcock,,1,Nouvelle-Zélande
1.5,150,270,275,155,Mealamu,,2,Nouvelle-Zélande
1.5,45,270,275,265,"O. Franks",,3,Nouvelle-Zélande
1.5,200,225,225,110,Thorn,,4,Nouvelle-Zélande
1.5,100,225,225,200,Whitelock,,5,Nouvelle-Zélande
1.5,250,180,185,35,Kaino,,6,Nouvelle-Zélande
1.5,45,180,185,279,"McCaw ",(C),7,Nouvelle-Zélande
1.5,150,180,185,155,Read,,8,Nouvelle-Zélande
1.5,205,135,135,75,Weepu,,9,Nouvelle-Zélande
1.5,90,135,135,240,Cruden,,10,Nouvelle-Zélande
1.5,275,90,85,15,Kahui,,11,Nouvelle-Zélande
1.5,195,90,85,110,Nonu,,12,Nouvelle-Zélande
1.5,100,90,85,205,Smith,,13,Nouvelle-Zélande
1.5,25,90,85,300,Jane,,14,Nouvelle-Zélande
1.5,150,50,40,155,Dagg,,15,Nouvelle-Zélande
1.5,45,315,355,265,Poux,,1,France
1.5,150,315,355,155,Servat,,2,France
1.5,250,315,355,50,Mas,,3,France
1.5,200,360,405,200,Papé,,4,France
1.5,100,360,405,110,Nallet,,5,France
1.5,45,405,450,279,Dusautoir,(C),6,France
1.5,250,405,450,35,Bonnaire,,7,France
1.5,150,405,450,155,Harinordoquy,,8,France
1.5,90,450,500,240,Yachvili,,9,France
1.5,205,450,500,75,Parra,,10,France
1.5,25,495,545,300,Palisson,,11,France
1.5,105,495,545,205,Mermoz,,12,France
1.5,200,495,545,110,Rougerie,,13,France
1.5,275,495,545,15,Clerc,,14,France
1.5,150,535,590,155,Médard,,15,France
