picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'Ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Tokolahi,,3,Pau
1.5,200,225,225,110,Cummins,,4,Pau
1.5,100,225,225,200,Metz,,5,Pau
1.5,250,180,185,35,Habel-Kuffner,,6,Pau
1.5,45,180,185,279,Hewat,,7,Pau
1.5,150,180,185,155,Gorgadze,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Colombet,,11,Pau
1.5,195,90,85,110,Decron,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Maddocks,,14,Pau
1.5,150,50,40,155,Henry,,15,Pau
1.5,45,315,355,265,Poirot,(C),1,Bordeaux-Bègles
1.5,150,315,355,155,Lamothe,,2,Bordeaux-Bègles
1.5,250,315,355,50,Tameifuna,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Marais,,5,Bordeaux-Bègles
1.5,45,405,450,279,Woki,,6,Bordeaux-Bègles
1.5,250,405,450,35,Petti,,7,Bordeaux-Bègles
1.5,150,405,450,155,Roumat,,8,Bordeaux-Bègles
1.5,90,450,500,240,M.Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Jalibert,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Moefana,,12,Bordeaux-Bègles
1.5,200,495,545,110,Seuteni,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cordero,,14,Bordeaux-Bègles
1.5,150,535,590,155,Buros,,15,Bordeaux-Bègles
