picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Lotrian,,1,Perpignan
1.5,150,270,275,155,"S. Lam",,2,Perpignan
1.5,45,270,275,265,Halanukonuka,,3,Perpignan
1.5,200,225,225,110,Labouteley,,4,Perpignan
1.5,100,225,225,200,Faasalele,,5,Perpignan
1.5,250,180,185,35,Oviedo,,6,Perpignan
1.5,45,180,185,279,Chouly,,7,Perpignan
1.5,150,180,185,155,"Mamea Lemalu",,8,Perpignan
1.5,205,135,135,75,Ecochard,,9,Perpignan
1.5,90,135,135,240,Tedder,,10,Perpignan
1.5,275,90,85,15,Acebes,(C),11,Perpignan
1.5,195,90,85,110,"De la Fuente",,12,Perpignan
1.5,100,90,85,205,Taumoepeau,,13,Perpignan
1.5,25,90,85,300,Duguilavu,,14,Perpignan
1.5,150,50,40,155,Dubois,,15,Perpignan
1.5,45,315,355,265,Paiva,,1,Bordeaux-Bègles
1.5,150,315,355,155,Maynadier,,2,Bordeaux-Bègles
1.5,250,315,355,50,Cobilas,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Jolmes,,5,Bordeaux-Bègles
1.5,45,405,450,279,Petti,,6,Bordeaux-Bègles
1.5,250,405,450,35,Marais,,7,Bordeaux-Bègles
1.5,150,405,450,155,Woki,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,(C),9,Bordeaux-Bègles
1.5,205,450,500,75,Jalibert,,10,Bordeaux-Bègles
1.5,25,495,545,300,Mori,,11,Bordeaux-Bègles
1.5,105,495,545,205,Moefana,,12,Bordeaux-Bègles
1.5,200,495,545,110,Seuteni,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cordero,,14,Bordeaux-Bègles
1.5,150,535,590,155,Buros,,15,Bordeaux-Bègles
