picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50," Alo-Emile",,1,"Stade Français"
1.5,150,270,275,155,Latu,,2,"Stade Français"
1.5,45,270,275,265,"Roelofse ",,3,"Stade Français"
1.5,200,225,225,110,"Gabrillagues ",(C),4,"Stade Français"
1.5,100,225,225,200,"Maestri ",,5,"Stade Français"
1.5,250,180,185,35,"Chapuis ",,6,"Stade Français"
1.5,45,180,185,279,Kremer,(C),7,"Stade Français"
1.5,150,180,185,155,Burban,,8,"Stade Français"
1.5,205,135,135,75,Coville,,9,"Stade Français"
1.5,90,135,135,240,Segonds,,10,"Stade Français"
1.5,275,90,85,15,Etien,,11,"Stade Français"
1.5,195,90,85,110,Laumape,,12,"Stade Français"
1.5,100,90,85,205,Waisea,,13,"Stade Français"
1.5,25,90,85,300,Veainu,,14,"Stade Français"
1.5,150,50,40,155,"Hamdaoui  ",,15,"Stade Français"
1.5,45,315,355,265,Paiva,,1,Bordeaux-Bègles
1.5,150,315,355,155,Lamothe,,2,Bordeaux-Bègles
1.5,250,315,355,50,"B. Tameifuna",,3,Bordeaux-Bègles
1.5,200,360,405,200,"Woki ",,4,Bordeaux-Bègles
1.5,100,360,405,110,Picamoles,,5,Bordeaux-Bègles
1.5,45,405,450,279,"Bochaton ",,6,Bordeaux-Bègles
1.5,250,405,450,35,"Diaby ",(C),7,Bordeaux-Bègles
1.5,150,405,450,155,Roumat,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Trinh-Duc,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Mori,,12,Bordeaux-Bègles
1.5,200,495,545,110,Massé,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cros,,14,Bordeaux-Bègles
1.5,150,535,590,155,Cordero,,15,Bordeaux-Bègles
