picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Ainu\'u",,1,Toulouse
1.5,150,270,275,155,Mauvaka,,2,Toulouse
1.5,45,270,275,265,Aldegheri,,3,Toulouse
1.5,200,225,225,110,"R. Arnold",,4,Toulouse
1.5,100,225,225,200,Meafou,,5,Toulouse
1.5,250,180,185,35,Flament,,6,Toulouse
1.5,45,180,185,279,Jelonch,,7,Toulouse
1.5,150,180,185,155,Elstadt,,8,Toulouse
1.5,205,135,135,75,Dupont,(C),9,Toulouse
1.5,90,135,135,240,Ramos,,10,Toulouse
1.5,275,90,85,15,Lebel,,11,Toulouse
1.5,195,90,85,110,Guitoune,,12,Toulouse
1.5,100,90,85,205,Barassi,,13,Toulouse
1.5,25,90,85,300,"A. Retière",,14,Toulouse
1.5,150,50,40,155,Mallia,,15,Toulouse
1.5,45,315,355,265,Wardi,,1,"La Rochelle"
1.5,150,315,355,155,Lagrange,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Piquette,,4,"La Rochelle"
1.5,100,360,405,110,Skelton,,5,"La Rochelle"
1.5,45,405,450,279,Dillane,,6,"La Rochelle"
1.5,250,405,450,35,Alldritt,(C),7,"La Rochelle"
1.5,150,405,450,155,Tanga,,8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Seuteni,,10,"La Rochelle"
1.5,25,495,545,300,Leyds,,11,"La Rochelle"
1.5,105,495,545,205,Danty,,12,"La Rochelle"
1.5,200,495,545,110,Rhule,,13,"La Rochelle"
1.5,275,495,545,15,Thomas,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
