picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,xxx,,1,Bayonne
1.5,150,270,275,155,xxx,,2,Bayonne
1.5,45,270,275,265,xxx,,3,Bayonne
1.5,200,225,225,110,xxx,,4,Bayonne
1.5,100,225,225,200,xxx,,5,Bayonne
1.5,250,180,185,35,xxx,,6,Bayonne
1.5,45,180,185,279,xxx,,7,Bayonne
1.5,150,180,185,155,xxx,,8,Bayonne
1.5,205,135,135,75,xxx,,9,Bayonne
1.5,90,135,135,240,xxx,,10,Bayonne
1.5,275,90,85,15,xxx,,11,Bayonne
1.5,195,90,85,110,xxx,,12,Bayonne
1.5,100,90,85,205,xxx,,13,Bayonne
1.5,25,90,85,300,xxx,,14,Bayonne
1.5,150,50,40,155,xxx,,15,Bayonne
1.5,45,315,355,265,aaa,,1,Brive
1.5,150,315,355,155,aaa,,2,Brive
1.5,250,315,355,50,aaa,,3,Brive
1.5,200,360,405,200,aaa,,4,Brive
1.5,100,360,405,110,aaa,,5,Brive
1.5,45,405,450,279,aaa,,6,Brive
1.5,250,405,450,35,aaa,,7,Brive
1.5,150,405,450,155,aaa,,8,Brive
1.5,90,450,500,240,aaa,,9,Brive
1.5,205,450,500,75,aaa,,10,Brive
1.5,25,495,545,300,aaa,,11,Brive
1.5,105,495,545,205,aaa,,12,Brive
1.5,200,495,545,110,aaa,,13,Brive
1.5,275,495,545,15,aaa,,14,Brive
1.5,150,535,590,155,aaa,,15,Brive
