picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,XX,,1,Bordeaux-Bègles
1.5,150,270,275,155,XX,,2,Bordeaux-Bègles
1.5,45,270,275,265,XX,,3,Bordeaux-Bègles
1.5,200,225,225,110,XX,(C),4,Bordeaux-Bègles
1.5,100,225,225,200,XX,,5,Bordeaux-Bègles
1.5,250,180,185,35,XX,,6,Bordeaux-Bègles
1.5,45,180,185,279,XX,,7,Bordeaux-Bègles
1.5,150,180,185,155,xx,,8,Bordeaux-Bègles
1.5,205,135,135,75,xx,,9,Bordeaux-Bègles
1.5,90,135,135,240,xx,,10,Bordeaux-Bègles
1.5,275,90,85,15,xx,,11,Bordeaux-Bègles
1.5,195,90,85,110,xx,,12,Bordeaux-Bègles
1.5,100,90,85,205,xxx,,13,Bordeaux-Bègles
1.5,25,90,85,300,xx,,14,Bordeaux-Bègles
1.5,150,50,40,155,xx,,15,Bordeaux-Bègles
1.5,45,315,355,265,XX,,1,Glasgow
1.5,150,315,355,155,XX,,2,Glasgow
1.5,250,315,355,50,XX,,3,Glasgow
1.5,200,360,405,200,XX,,4,Glasgow
1.5,100,360,405,110,XX,,5,Glasgow
1.5,45,405,450,279,XX,(C),6,Glasgow
1.5,250,405,450,35,XX,,7,Glasgow
1.5,150,405,450,155,XX,,8,Glasgow
1.5,90,450,500,240,XX,,9,Glasgow
1.5,205,450,500,75,XX,,10,Glasgow
1.5,25,495,545,300,XX,,11,Glasgow
1.5,105,495,545,205,XX,,12,Glasgow
1.5,200,495,545,110,XX,,13,Glasgow
1.5,275,495,545,15,XX,,14,Glasgow
1.5,150,535,590,155,XX,,15,Glasgow
