picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,ww,,1,"Stade Français"
1.5,150,270,275,155,ww,,2,"Stade Français"
1.5,45,270,275,265,ww,,3,"Stade Français"
1.5,200,225,225,110,ww,(C),4,"Stade Français"
1.5,100,225,225,200,ww,,5,"Stade Français"
1.5,250,180,185,35,ww,,6,"Stade Français"
1.5,45,180,185,279,ww,,7,"Stade Français"
1.5,150,180,185,155,ww,,8,"Stade Français"
1.5,205,135,135,75,ww,,9,"Stade Français"
1.5,90,135,135,240,ww,,10,"Stade Français"
1.5,275,90,85,15,ww,,11,"Stade Français"
1.5,195,90,85,110,ww,,12,"Stade Français"
1.5,100,90,85,205,ww,,13,"Stade Français"
1.5,25,90,85,300,ww,,14,"Stade Français"
1.5,150,50,40,155,ww,,15,"Stade Français"
1.5,45,315,355,265,xx,(C),1,Gloucester
1.5,150,315,355,155,xx,,2,Gloucester
1.5,250,315,355,50,xx,,3,Gloucester
1.5,200,360,405,200,xx,,4,Gloucester
1.5,100,360,405,110,xx,,5,Gloucester
1.5,45,405,450,279,xx,,6,Gloucester
1.5,250,405,450,35,xx,,7,Gloucester
1.5,150,405,450,155,xx,,8,Gloucester
1.5,90,450,500,240,xx,,9,Gloucester
1.5,205,450,500,75,xx,,10,Gloucester
1.5,25,495,545,300,xx,,11,Gloucester
1.5,105,495,545,205,xx,,12,Gloucester
1.5,200,495,545,110,xx,,13,Gloucester
1.5,275,495,545,15,xx,,14,Gloucester
1.5,150,535,590,155,xx,,15,Gloucester
