picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"TEST NICO",,1,"La Rochelle"
1.5,150,270,275,155,"TEST NICO",,2,"La Rochelle"
1.5,45,270,275,265,"TEST NICO",,3,"La Rochelle"
1.5,200,225,225,110,"TEST NICO",(C),4,"La Rochelle"
1.5,100,225,225,200,"TEST NICO",,5,"La Rochelle"
1.5,250,180,185,35,"TEST NICO",,6,"La Rochelle"
1.5,45,180,185,279,"TEST NICO",,7,"La Rochelle"
1.5,150,180,185,155,"TEST NICO",,8,"La Rochelle"
1.5,205,135,135,75,"TEST NICO",,9,"La Rochelle"
1.5,90,135,135,240,"TEST NICO",,10,"La Rochelle"
1.5,275,90,85,15,"TEST NICO",,11,"La Rochelle"
1.5,195,90,85,110,"TEST NICO",,12,"La Rochelle"
1.5,100,90,85,205,"TEST NICO",,13,"La Rochelle"
1.5,25,90,85,300,"TEST NICO",,14,"La Rochelle"
1.5,150,50,40,155,"TEST NICO",,15,"La Rochelle"
1.5,45,315,355,265,"TEST NICO",,1,Lyon
1.5,150,315,355,155,"TEST NICO",,2,Lyon
1.5,250,315,355,50,"TEST NICO",,3,Lyon
1.5,200,360,405,200,"TEST NICO",,4,Lyon
1.5,100,360,405,110,"TEST NICO",,5,Lyon
1.5,45,405,450,279,"TEST NICO",(C),6,Lyon
1.5,250,405,450,35,"TEST NICO",,7,Lyon
1.5,150,405,450,155,"TEST NICO",,8,Lyon
1.5,90,450,500,240,"TEST NICO",,9,Lyon
1.5,205,450,500,75,"TEST NICO",,10,Lyon
1.5,25,495,545,300,"TEST NICO",,11,Lyon
1.5,105,495,545,205,"TEST NICO",,12,Lyon
1.5,200,495,545,110,"TEST NICO",,13,Lyon
1.5,275,495,545,15,"TEST NICO",,14,Lyon
1.5,150,535,590,155,"TEST NICO",,15,Lyon
