picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Bibi Biziwu",,1,Clermont
1.5,150,270,275,155,Pélissié,,2,Clermont
1.5,45,270,275,265,Slimani,,3,Clermont
1.5,200,225,225,110,Jedrasiak,,4,Clermont
1.5,100,225,225,200,Th.Lanen,,5,Clermont
1.5,250,180,185,35,Iturria,(C),6,Clermont
1.5,45,180,185,279,Cancoriet,,7,Clermont
1.5,150,180,185,155,Lee,,8,Clermont
1.5,205,135,135,75,Parra,,9,Clermont
1.5,90,135,135,240,Lopez,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Barraque,,12,Clermont
1.5,100,90,85,205,Naqalevu,,13,Clermont
1.5,25,90,85,300,Penaud,,14,Clermont
1.5,150,50,40,155,Matsushima,,15,Clermont
1.5,45,315,355,265,"Fisi\'ihoi",,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Tokolahi,,3,Pau
1.5,200,360,405,200,Tagitagivalu,,4,Pau
1.5,100,360,405,110,Delannoy,,5,Pau
1.5,45,405,450,279,Hamonou,,6,Pau
1.5,250,405,450,35,Puech,(C),7,Pau
1.5,150,405,450,155,Gorgadze,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Hastoy,,10,Pau
1.5,25,495,545,300,Tuimaba,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Roudil,,13,Pau
1.5,275,495,545,15,Pinto,,14,Pau
1.5,150,535,590,155,Maddocks,,15,Pau
