picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,test,,1,Clermont
1.5,150,270,275,155,test,,2,Clermont
1.5,45,270,275,265,test,(C),3,Clermont
1.5,200,225,225,110,test,,4,Clermont
1.5,100,225,225,200,test,,5,Clermont
1.5,250,180,185,35,test,,6,Clermont
1.5,45,180,185,279,test,,7,Clermont
1.5,150,180,185,155,test,,8,Clermont
1.5,205,135,135,75,test,,9,Clermont
1.5,90,135,135,240,test,,10,Clermont
1.5,275,90,85,15,test,,11,Clermont
1.5,195,90,85,110,test,,12,Clermont
1.5,100,90,85,205,test,,13,Clermont
1.5,25,90,85,300,test,,14,Clermont
1.5,150,50,40,155,test,,15,Clermont
1.5,45,315,355,265,test,,1,Toulon
1.5,150,315,355,155,test,,2,Toulon
1.5,250,315,355,50,test,(C),3,Toulon
1.5,200,360,405,200,test,,4,Toulon
1.5,100,360,405,110,test,,5,Toulon
1.5,45,405,450,279,test,,6,Toulon
1.5,250,405,450,35,test,,7,Toulon
1.5,150,405,450,155,test,,8,Toulon
1.5,90,450,500,240,test,,9,Toulon
1.5,205,450,500,75,test,,10,Toulon
1.5,25,495,545,300,test,,11,Toulon
1.5,105,495,545,205,test,,12,Toulon
1.5,200,495,545,110,test,,13,Toulon
1.5,275,495,545,15,test,,14,Toulon
1.5,150,535,590,155,test,,15,Toulon
