picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Schoeman,,1,Edimbourg
1.5,150,270,275,155,McInally,,2,Edimbourg
1.5,45,270,275,265,"De Bruin",,3,Edimbourg
1.5,200,225,225,110,Sykes,,4,Edimbourg
1.5,100,225,225,200,Gilchrist,(C),5,Edimbourg
1.5,250,180,185,35,Young,,6,Edimbourg
1.5,45,180,185,279,Boyle,,7,Edimbourg
1.5,150,180,185,155,Bradbury,,8,Edimbourg
1.5,205,135,135,75,Pyrgos,,9,Edimbourg
1.5,90,135,135,240,"Van der Walt",,10,Edimbourg
1.5,275,90,85,15,"R. Moyano",,11,Edimbourg
1.5,195,90,85,110,Hutchinson,,12,Edimbourg
1.5,100,90,85,205,Currie,,13,Edimbourg
1.5,25,90,85,300,Graham,,14,Edimbourg
1.5,150,50,40,155,Immelman,,15,Edimbourg
1.5,45,315,355,265,Bordenave,,1,Pau
1.5,150,315,355,155,Calles,,2,Pau
1.5,250,315,355,50,Yameogo,,3,Pau
1.5,200,360,405,200,"H. Auradou",,4,Pau
1.5,100,360,405,110,Cummins,,5,Pau
1.5,45,405,450,279,Hewat,,6,Pau
1.5,250,405,450,35,Hamonou,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,Levron,,9,Pau
1.5,205,450,500,75,Debaes,,10,Pau
1.5,25,495,545,300,Pinto,,11,Pau
1.5,105,495,545,205,Vatubua,(C),12,Pau
1.5,200,495,545,110,Barrett,,13,Pau
1.5,275,495,545,15,Tuimaba,,14,Pau
1.5,150,535,590,155,"P. Auradou",,15,Pau
