picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Marchand,,2,France
1.5,45,270,275,265,Atonio,,3,France
1.5,200,225,225,110,Woki,,4,France
1.5,100,225,225,200,Willemse,,5,France
1.5,250,180,185,35,Cros,,6,France
1.5,45,180,185,279,Jelonch,,7,France
1.5,150,180,185,155,Aldritt,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Ntamack,,10,France
1.5,275,90,85,15,Villière,,11,France
1.5,195,90,85,110,Danty,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Genge,,1,Angleterre
1.5,150,315,355,155,George,,2,Angleterre
1.5,250,315,355,50,Stuart,,3,Angleterre
1.5,200,360,405,200,Itoje,,4,Angleterre
1.5,100,360,405,110,Isiekwe,,5,Angleterre
1.5,45,405,450,279,Lawes,,6,Angleterre
1.5,250,405,450,35,Underhill,,7,Angleterre
1.5,150,405,450,155,Simmonds,,8,Angleterre
1.5,90,450,500,240,Youngs,,9,Angleterre
1.5,205,450,500,75,Smith,,10,Angleterre
1.5,25,495,545,300,Nowell,,11,Angleterre
1.5,105,495,545,205,Slade,,12,Angleterre
1.5,200,495,545,110,Marchant,,13,Angleterre
1.5,275,495,545,15,Steward,,14,Angleterre
1.5,150,535,590,155,Furbank,,15,Angleterre
