picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Thierry Paiva",,1,"La Rochelle"
1.5,150,270,275,155,Lespiaucq,,2,"La Rochelle"
1.5,45,270,275,265,Colombe,,3,"La Rochelle"
1.5,200,225,225,110,Lavault,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Hatherell,,6,"La Rochelle"
1.5,45,180,185,279,Bourdeau,,7,"La Rochelle"
1.5,150,180,185,155,Haddad,,8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Hastoy,,10,"La Rochelle"
1.5,275,90,85,15,Leyds,,11,"La Rochelle"
1.5,195,90,85,110,Botia,(C),12,"La Rochelle"
1.5,100,90,85,205,Rhule,,13,"La Rochelle"
1.5,25,90,85,300,Thomas,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Tailhades,,1,Pau
1.5,150,315,355,155,Ruffenach,,2,Pau
1.5,250,315,355,50,Papidze,,3,Pau
1.5,200,360,405,200,Tagitagivalu,,4,Pau
1.5,100,360,405,110,Metz,,5,Pau
1.5,45,405,450,279,Gorgadze,,6,Pau
1.5,250,405,450,35,Whitelock,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,Daubagna,,9,Pau
1.5,205,450,500,75,Henry,,10,Pau
1.5,25,495,545,300,Pinto,,11,Pau
1.5,105,495,545,205,Gailleton,,12,Pau
1.5,200,495,545,110,Reilhac,,13,Pau
1.5,275,495,545,15,Ikpefan,,14,Pau
1.5,150,535,590,155,Maddocks,,15,Pau
