picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,test,,1,Lyon
1.5,150,270,275,155,test,,2,Lyon
1.5,45,270,275,265,test,(C),3,Lyon
1.5,200,225,225,110,test,,4,Lyon
1.5,100,225,225,200,test,,5,Lyon
1.5,250,180,185,35,test,,6,Lyon
1.5,45,180,185,279,test,,7,Lyon
1.5,150,180,185,155,test,,8,Lyon
1.5,205,135,135,75,test,,9,Lyon
1.5,90,135,135,240,test,,10,Lyon
1.5,275,90,85,15,test,(C),11,Lyon
1.5,195,90,85,110,test,,12,Lyon
1.5,100,90,85,205,test,,13,Lyon
1.5,25,90,85,300,test,,14,Lyon
1.5,150,50,40,155,test,,15,Lyon
1.5,45,315,355,265,test,,1,Montpellier
1.5,150,315,355,155,test,,2,Montpellier
1.5,250,315,355,50,test,(C),3,Montpellier
1.5,200,360,405,200,test,,4,Montpellier
1.5,100,360,405,110,test,,5,Montpellier
1.5,45,405,450,279,test,,6,Montpellier
1.5,250,405,450,35,test,,7,Montpellier
1.5,150,405,450,155,test,,8,Montpellier
1.5,90,450,500,240,test,,9,Montpellier
1.5,205,450,500,75,test,,10,Montpellier
1.5,25,495,545,300,test,,11,Montpellier
1.5,105,495,545,205,test,,12,Montpellier
1.5,200,495,545,110,test,,13,Montpellier
1.5,275,495,545,15,test,,14,Montpellier
1.5,150,535,590,155,test,,15,Montpellier
