picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Calles,,1,Pau
1.5,150,270,275,155,Lespiaucq,,2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Cummins,,4,Pau
1.5,100,225,225,200,Tagitagivalu,,5,Pau
1.5,250,180,185,35,Habel-Küffner,,6,Pau
1.5,45,180,185,279,Whitelock,(C),7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Manu,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Decron,,13,Pau
1.5,25,90,85,300,Colombet,,14,Pau
1.5,150,50,40,155,Henry,,15,Pau
1.5,45,315,355,265,Millar,,1,Biarritz
1.5,150,315,355,155,Soury,,2,Biarritz
1.5,250,315,355,50,Samaran,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Olmstead,,5,Biarritz
1.5,45,405,450,279,Dixon,,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Armitage,(C),8,Biarritz
1.5,90,450,500,240,Couilloud,,9,Biarritz
1.5,205,450,500,75,Perraux,,10,Biarritz
1.5,25,495,545,300,Speight,,11,Biarritz
1.5,105,495,545,205,Saili,,12,Biarritz
1.5,200,495,545,110,Kuridrani,,13,Biarritz
1.5,275,495,545,15,Domvo,,14,Biarritz
1.5,150,535,590,155,Jonas,,15,Biarritz
