picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Ramsay,,4,Pau
1.5,100,225,225,200,Tagitagivalu,,5,Pau
1.5,250,180,185,35,"Puech ou Hewat",,6,Pau
1.5,45,180,185,279,Gorgadze,,7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,Daubagna,,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,"Roudil ou Barrett",,11,Pau
1.5,195,90,85,110,Manu,,12,Pau
1.5,100,90,85,205,Vatubua,,13,Pau
1.5,25,90,85,300,Tuimaba,,14,Pau
1.5,150,50,40,155,"Henry ou Carol",,15,Pau
1.5,45,315,355,265,"De Benedittis",,1,Castres
1.5,150,315,355,155,Barlot,,2,Castres
1.5,250,315,355,50,Hounkpatin,,3,Castres
1.5,200,360,405,200,Vanverberghe,,4,Castres
1.5,100,360,405,110,Staniforth,,5,Castres
1.5,45,405,450,279,"Champion de Crespigny",,6,Castres
1.5,250,405,450,35,Babillot,(C),7,Castres
1.5,150,405,450,155,Delaporte,,8,Castres
1.5,90,450,500,240,Arata,,9,Castres
1.5,205,450,500,75,Urdapilleta,,10,Castres
1.5,25,495,545,300,Nakosi,,11,Castres
1.5,105,495,545,205,Botitu,,12,Castres
1.5,200,495,545,110,Cocagi,,13,Castres
1.5,275,495,545,15,Palis,,14,Castres
1.5,150,535,590,155,Dumora,,15,Castres
