picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Sénéca,,1,Pau
1.5,150,270,275,155,Barka,,2,Pau
1.5,45,270,275,265,Yaméogo,,3,Pau
1.5,200,225,225,110,Ramsay,(C),4,Pau
1.5,100,225,225,200,Metz,,5,Pau
1.5,250,180,185,35,Hewat,,6,Pau
1.5,45,180,185,279,Hamonou,,7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,Levron,,9,Pau
1.5,90,135,135,240,Dumoulin,,10,Pau
1.5,275,90,85,15,Ikpefan,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,"Tutuila Vaea",,13,Pau
1.5,25,90,85,300,Barrett,,14,Pau
1.5,150,50,40,155,Pinto,,15,Pau
1.5,45,315,355,265,Gigena,,1,"London Irish"
1.5,150,315,355,155,Marshall,,2,"London Irish"
1.5,250,315,355,50,Hoskins,,3,"London Irish"
1.5,200,360,405,200,Nott,,4,"London Irish"
1.5,100,360,405,110,Simmons,(C),5,"London Irish"
1.5,45,405,450,279,Pearson,,6,"London Irish"
1.5,250,405,450,35,Gonzalez,,7,"London Irish"
1.5,150,405,450,155,Cracknell,,8,"London Irish"
1.5,90,450,500,240,White,,9,"London Irish"
1.5,205,450,500,75,Jennings,,10,"London Irish"
1.5,25,495,545,300,Cinti,,11,"London Irish"
1.5,105,495,545,205,Hepetema,,12,"London Irish"
1.5,200,495,545,110,Williams,,13,"London Irish"
1.5,275,495,545,15,Stokes,,14,"London Irish"
1.5,150,535,590,155,Parton,,15,"London Irish"
